Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.885417,0.843750,0.854167,0.366324,369600
1980-03-24,0.000000,0.859375,0.838542,0.843750,0.361857,2272800
1980-03-31,0.000000,0.885417,0.843750,0.854167,0.366324,398400
1980-04-07,0.000000,0.864583,0.833333,0.854167,0.366324,187200
1980-04-14,0.000000,0.864583,0.848958,0.848958,0.364090,578400
1980-04-21,0.000000,0.869792,0.843750,0.869792,0.373025,393600
1980-04-28,0.000000,0.916667,0.869792,0.895833,0.384193,556800
1980-05-05,0.000000,0.937500,0.901042,0.916667,0.393128,465600
1980-05-12,0.000000,0.958333,0.916667,0.942708,0.404296,175200
1980-05-19,0.000000,0.973958,0.932292,0.958333,0.410998,357600
1980-05-26,0.000000,0.968750,0.927083,0.958333,0.410998,220800
1980-06-02,0.000000,0.994792,0.942708,0.989583,0.424399,393600
1980-06-09,0.000000,1.046875,0.958333,0.979167,0.419932,1740000
1980-06-16,0.000000,0.994792,0.921875,0.927083,0.397595,424800
1980-06-23,0.000000,0.979167,0.911458,0.968750,0.415465,825600
1980-06-30,0.000000,1.000000,0.968750,0.984375,0.422166,290400
1980-07-07,0.000000,1.083333,0.984375,1.015625,0.435568,1886400
1980-07-14,0.000000,1.052083,1.000000,1.020833,0.437801,261600
1980-07-21,0.000000,1.072917,1.026042,1.052083,0.451204,1483200
1980-07-28,0.000000,1.052083,1.026042,1.026042,0.440035,220800
1980-08-04,0.000000,1.083333,1.031250,1.052083,0.451204,427200
1980-08-11,0.000000,1.078125,1.046875,1.072917,0.460139,463200
1980-08-18,0.000000,1.062500,1.031250,1.062500,0.455671,523200
1980-08-25,0.000000,1.072917,1.020833,1.052083,0.451204,633600
1980-09-01,0.000000,1.072917,1.041667,1.062500,0.455671,398400
1980-09-08,0.000000,1.072917,1.046875,1.072917,0.460139,1092000
1980-09-15,0.000000,1.083333,1.052083,1.062500,0.455671,643200
1980-09-22,0.000000,1.067708,1.031250,1.046875,0.448970,537600
1980-09-29,0.000000,1.046875,1.026042,1.026042,0.440035,1096800
1980-10-06,0.000000,1.052083,1.026042,1.026042,0.440035,436800
1980-10-13,0.000000,1.046875,1.026042,1.036458,0.444503,381600
1980-10-20,0.000000,1.041667,1.005208,1.005208,0.431100,924000
1980-10-27,0.000000,1.015625,0.989583,1.015625,0.435568,146400
1980-11-03,0.000000,1.020833,0.963542,0.963542,0.413231,196800
1980-11-10,0.000000,1.015625,0.963542,1.010417,0.433334,468000
1980-11-17,0.000000,1.010417,0.968750,0.979167,0.419932,813600
1980-11-24,0.000000,0.989583,0.942708,0.953125,0.408764,895200
1980-12-01,0.000000,0.979167,0.942708,0.968750,0.415465,376800
1980-12-08,0.000000,0.947917,0.921875,0.932292,0.399829,393600
1980-12-15,0.000000,0.947917,0.921875,0.921875,0.395362,1039200
1980-12-22,0.000000,0.932292,0.916667,0.932292,0.399829,2349600
1980-12-29,0.000000,1.031250,0.916667,1.031250,0.442269,544800
1981-01-05,0.000000,1.036458,0.963542,0.984375,0.422166,597600
1981-01-12,0.000000,1.046875,1.000000,1.010417,0.433334,571200
